id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
46	47				<color=#d8d8d8>大门拉开，风雪卷入，瞬间被室内的融融暖气消弭，同时，也露出了站在外面的两道身影——</color>				5	1.1				102008;103008;104003		0;200501;200101	10205;100201;0		13;20;27		1																					103008;102008;102008	8;2											1											<color=#d8d8d8>大門拉開，風雪捲入，瞬間被室內的融融暖氣消弭，同時，也露出了站在外面的兩道身影——</color>	<color=#d8d8d8>The door swung open, letting in a rush of wind and snow, which quickly dissipated in the warmth of the indoors, revealing two figures standing outside.</color>	<color=#d8d8d8>ドアが開き、風雪が吹き込んで、すぐに室内の暖かみに呑み込まれると同時に、外に立っている二人の姿も現れてきた——</color>	<color=#d8d8d8>문이 열리고, 눈보라가 밀려 와 실내의 온기를 날려 보낸다. 이와 동시에 문 앞에 두 사람의 모습이 나타났다—</color>	[​ประตู​บาน​ใหญ่​เปิด​ออก​ ลม​หิมะ​พัด​เข้ามา​ แต่​แล้วก็​ถูก​ความอบอุ่น​ภายใน​ร้าน​ละลาย​ไป​ในทันที​ พร้อมกับ​เผย​ให้​เห็น​สอง​เงา​ที่​ยืน​อยู่​ข้างนอก​—]​															
47	48		12	特莉丝	店长？！艾可！！！！				5	1.1				102008;103008		0;200201	10205;100201;0		13;20		1					bgm_instance_spring_sad	sfx_rolestory_likaijiaobu															103008;0	8;2											1	特莉絲	Triss	トリス	트리스	ทริส						店長？！艾可！！！！	Manager?! Echo!!!	店長さん？！アイコ！	점장님?! 에코!!!!	คุณ​ผู้จัดการ​?!​ เอ​ค​โค​!!!!​															
48			3						5	1.1				102008;103008		200901;200101	10205;0		13;20		1														大家，晚上好呀！	49						103008;0	8;2											1																大家，晚上好呀！	Evening, everyone!	みんな、こんばんは！	다들, 즐거운 저녁이야!	สวัสดีตอนค่ำนะ ทุกคน!										
49	50			特莉丝	你们……不用参加耀州的庆典吗？				5	1.1				102008;103008		200201;200501	10205;100101		13;20		1																					103008;0	8;2											1	特莉絲	Triss	トリス	트리스	ทริส						你們……不用參加耀州的慶典嗎？	Aren't you two supposed to be at the Yaozhou festival?	皆さんは……耀州のお祭りに参加しないのでしょうか？	모두... 요주 타운의 축제에 참가하는 거 아니었나요?	พวกคุณ​...​ ไม่​ได้​ไป​เข้าร่วม​เทศกาล​ที่​เขต​เหยา​โจว​เหรอ​คะ​?​															
50	51			艾可	嘻嘻，因为新海市和耀州有时差呀！				5	1.1				102008;103008		0;200501	0;100101		13;20		1																					103008;102008	8;2											1	艾可	Echo	アイコ	에코	เอคโค						嘻嘻，因為新海市和耀州有時差呀！	Tee-hee, but Catto City and Yaozhou are in different time zones!	だってさ、ふふ、新海市と耀州には時差があるからね！	히히, 뉴오션 시티와 요주 타운은 시차가 있잖아!	ฮิ​ฮิ​ เพราะ​แค​ทโตะ​ ซิตี้​กับ​เขต​เหยา​โจว​มี​โซน​เวลา​ต่างกัน​ไง​ล่ะ​!​															
51	52			艾可	没想到吧，那边刚结束我们就跑回来了，还可以跟大家一起守岁——				5	1.1				102008;103008		0;200101	0;100101		13;20		1								sfx_rolestory_yifu													103008;102008	8;2											1	艾可	Echo	アイコ	에코	เอคโค						沒想到吧，那邊剛結束我們就跑回來了，還可以跟大家一起守歲——	Surprise! We just wrapped up over there and rushed back to celebrate the New Year with all of you!	意外だろう、そっちが終わったらすぐに飛んで帰ったんだ。みんなと一緒に新年を迎えることができるんだよ——	몰랐지? 그쪽 축제가 끝나자마자 달려온 거야. 다 함께 새해를 맞으려고—	คิดไม่ถึง​กัน​ใช่​มั้ย​ล่ะ​ พอ​เทศกาล​ที่นั่น​จบ​ปุ๊บ​ พวกเรา​ก็​กลับมา​ทันที​เลย​ไง​ แถม​ยัง​ได้​อยู่​ข้ามคืน​ส่งท้าย​ปี​เก่า​ไป​กับ​ทุกคน​ด้วย​นะ​—​															
52	53			艾可	唔！特莉丝，抱得太紧，艾可要喘不过气来了喵！				5	1.1				102008;103008		200401;200101	10205;0		13;20		1																					103008;102008	8;2											1	艾可	Echo	アイコ	에코	เอคโค						唔！特莉絲，抱得太緊，艾可要喘不過氣來了喵！	Mmph! Triss, you're squeezing too tight! I can't breathe!	うん！トリス、きつい！アイコは息が切れそうになるにゃ！	윽! 트리스, 너무 꽉 안았어. 에코 숨을 못 쉬겠다냥!	อุ๊​!​ ท​ริ​ส​ จะ​กอด​แน่น​เกินไป​แล้ว​ เอ​ค​โค​หายใจไม่ออก​เมี้ยว​!​															
53	54		11						7	1.1	2			104003;135008;136008		200101;200101;200101	100201;0;0		13;20;27		1																						1;0											1																														
54	55			小曼	店长！				7	1.1				104003;135008;136008		200101;0;0	100201;100101;0		13;20;27		1																						1;0											1	小曼	Mandy	マンディー	맨디	แมนดี้						店長！	Manager!	店長さん！	점장님!	คุณผู้จัดการ!															
55	56			南弥生	调查官回来了，得很是时候嘛！				7	1.1				104003;135008;136008		200501;0;0	100201;0;0		13;20;27		1																						1;0											1	南彌生	Minami	南　弥生	미나미	มินามิ						調查官回來了，得很是時候嘛！	The Inspector's back just in time!	調査官、ちょうどいいところに戻ってきたね！	조사관, 마침 딱 좋은 타이밍에 돌아왔네!	ผู้ตรวจการ​กลับมา​แล้ว​เหรอ​ มา​ได้เวลา​จริงๆ​ เลย​นะ​!​															
56	57			法夕黛	店长……				7	1.1				104003;135008;136008		200501;0;0	100201;0;10202		13;20;27		1																						1;0											1	法夕黛	Felicia	ファルスタ	파르시타	เฟริเซีย						店長……	Manager...	店長さん……	점장님...	คุณผู้จัดการ...															
57			3						7	1.1				104003;135008;136008		200501;0;200101			13;20;27		1														嗯……各位，我回来了。	58							1;0											1																嗯……各位，我回來了。	Mm... I'm home, everyone.	うん……皆、ただいま。	응, 모두... 나 돌아왔어	อื้ม... ทุกคน ฉันกลับมาแล้ว										
58	59		11							1.1	2			108008		200101			20		1																						43;0											1																														
59	60			小白	欢迎回家。					1.1				108008		200101	10202		20		1																						43;0											1	小白	Shiro	シロ	화이트	ชิโระ						歡迎回家。	Welcome back.	お帰りなさい、調査官。	집에 돌아온 걸 환영해	ยินดีต้อนรับกลับบ้านค่ะ															
60	61		11							1.1	2	18	0	108008		200101			20		1																						43;0											1																														
61	62		11				1	57:dialg_bg_100			0.6										1																																	1																														
62	63		11				1	57:story_cg_newyear_007			2	17	-1								1																																	1																														
63	64		11				1	57:story_cg_newyear_007			2										1																												57:story_cg_newyear_008					1																														
64	65		11				1	57:story_cg_newyear_008			3										1																																	1																														
65	0		11								2	18	0								1																																	1																														
